"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","53","7","no-unused-vars","'FIELDS' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"2","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","366","27","no-empty","Empty block statement.","https://eslint.org/docs/latest/rules/no-empty","suggestion","eslint"
"3","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","423","18","no-unused-vars","'event' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"4","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","449","5","no-dupe-class-members","Duplicate name 'options'.","https://eslint.org/docs/latest/rules/no-dupe-class-members","problem","eslint"
"5","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","463","5","getter-return","Expected getter 'states' to always return a value.","https://eslint.org/docs/latest/rules/getter-return","problem","eslint"
"6","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","607","37","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"7","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","611","28","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"8","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","615","21","no-unused-vars","'error' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"9","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","652","15","no-unused-vars","'modal' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"10","2","C:\Users\siddharth.bhosale\Desktop\Omnistudio\PersonalOmni2\force-app\main\default\lwc\picnicShelter\picnicShelter.js","661","13","no-unused-vars","'startRange' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
